,0
0,Alaska
1,Arkansas
2,Delaware
3,Hawaii
4,Idaho
5,Illinois
6,Indiana
7,Iowa
8,Kansas
9,Kentucky
10,Louisiana
11,Massachusetts
12,Missouri
13,Nebraska
14,New Hampshire
15,North Carolina
16,Pennsylvania
17,Rhode Island
18,South Carolina
19,Wisconsin
